Banglish,Bangla
se tar gramer ekti biddaloye poralekha kore,সে তার গ্রামের একটি বিদ্যালয়ে পড়ালেখা করে
se biddaloye jete chay na,সে বিদ্যালয়ে যেতে চায় না
tar biddaloye giye poralekha korte valo lage na,তার বিদ্যালয়ে গিয়ে পড়ালেখা করতে ভাল লাগে না
se biddaloye giye bondhuder sathe golpo kore,সে বিদ্যালয়ে গিয়ে বন্ধুদের সাথে গল্প করে
se biddaloye mathe protidin cricket khele,সে বিদ্যালয়ের মাঠে প্রতিদিন ক্রিকেট খেলে
se biddaloye mathe matha ghuriye pore giyechilo,সে বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পরে গিয়েছিল
se onek din age tar biddaloyer ekti meyeke valobasto,সে অনেক দিন আগে তার বিদ্যালয়ের একটি মেয়েকে ভালোবাসতো
cheleti tar gramer choto ekti biddaloy theke poralekha kore SSC pass koreche,ছেলেটি তাঁর গ্রামের ছোটো একটি বিদ্যালয় থেকে পড়ালেখা করে এসএসসি পাশ করেছে
tomader basa kothay?,তোমাদের বাসা কোথায়?
dhaka bangladesher rajdhani,ঢাকা বাংলাদেশের রাজধানী
tumi ki amar sathe prem korba?,তুমি কি আমার সাথে প্রেম করবা?
ami ajke sokale football khelechi,আমি আজকে সকালে ফুটবল খেলেছি
ami tomar moner kotha bujhi na,আমি তোমার মনের কথা বুঝি না
tomar jonno amar khub koshto hoy,তোমার জন্য আমার খুব কষ্ট হয়
amader shopno onek boro,আমাদের স্বপ্ন অনেক বড়
olpoboyoshi ekti chele baire footpath e douracche,অল্পবয়সী একটি ছেলে বাইরে ফুটপাত এ দৌড়াচ্ছে
ekti choto shishu bichanay lafiye uthche,একটি ছোট শিশু বিছানায় লাফিয়ে উঠছে
ekti chele bichanai lafacche,একটি ছেলে বিছানায় লাফাচ্ছে
ekti chele ek bichana theke onno bichanay laf dicche,একটি ছেলে এক বিছানা থেকে অন্য বিছানায় লাফ দিচ্ছে
ekti choto shishu footpathe hatche,একটি ছোট শিশু ফুটপাতে হাঁটছে
ami ekjon chele,আমি একজন ছেলে
ami ekjon meye,আমি একজন মেয়ে
amar sami amake khub valobashe,আমার স্বামী আমাকে খুব ভালোবাসে
school jibon theke tader prem chilo,স্কুল জীবন থেকে তাদের প্রেম ছিলো
ami bibaho korechi dosh bochor hoy,আমি বিবাহ করেছি দশ বছর হয়
osomvob valo chobi,অসম্ভব ভাল ছবি
bohudin pore ekta valo chobi dekhlam,বহুদিন পরে একটা ভাল ছবি দেখলাম
osomvob valo likhechen,অসম্ভব ভালো লিখেছেন
bohudin pore ekta valo lekha porlam,বহুদিন পরে একটা ভালো লেখা পড়লাম
prochondo matha betha korchilo,প্রচণ্ড মাথা ব্যথা করছিলো
kichui bujhte parlam na,কিছুই বুঝতে পারলাম না
tini eta dekhe gyaan hariye fellen,তিনি এটা দেখে জ্ঞান হারিয়ে ফেললেন
ek kothay onek shundor lagche apnake,এক কথায় অনেক সুন্দর লাগছে আপনাকে
apnar chobir ceye apni bastobe beshi shundor,আপনার ছবির চেয়ে আপনি বাস্তবে বেশি সুন্দর
apnar hashir kache sob kichu har mene jay,আপনার হাশির কাছে সব কিছু হার মেনে যায়
apnar cokh onek shundor,আপনার চোখ অনেক সুন্দর
apnar sathe poricito hoye valo laglo,আপনার সাথে পরিচিত হয়ে ভালো লাগলো
onek somoy por apnake dekhchi,অনেক সময় পর আপনাকে দেখছি
du vaiyer moddhe jayga jomi niye jhogra hoy,দু ভাইয়ের মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়
pore ek vai Kuwait cole jay arek vai sudan cole jay,পরে এক ভাই কুয়েত চলে যায় আরেক ভাই সুদান চলে যায়
kichu din por sudan ferot lokti biye koren,কিছু দিন পর সুদান ফেরত লোকটি বিয়ে করেন
mobile chara bathroom e gele mone hoy joruri file chara office e bose achi,মোবাইল ছাড়া বাথরুম এ গেলে মনে হয় জরুরি ফাইল ছাড়া অফিস এ বসে আছি
jader gali deoya hoye geche tara doya kore line theke shore jan,যাদের গালি দেওয়া হয়ে গেছে তারা দয়া করে লাইন থেকে সরে যান
pechone ekhono onek manush line e dariye ache,পেছনে এখনো অনেক মানুষ লাইন এ দাঁড়িয়ে আছে
taderke gali deoyar sujog kore din,তাদেরকে গালি দেওয়ার সুযোগ করে দিন
khub beshi kichu bolbo na karon abege chokhe pani chole asche,খুব বেশি কিছু বলবো না কারন আবেগে চোখে পানি চলে আসছে
tumi bolcho je thakar se emni theke jabe,তুমি বলছো যে থাকার সে এমনিই থেকে যাবে
prothome apnake ekti dokane jete hobe,প্রথমে আপনাকে একটি দোকানে যেতে হবে
nijer pochonder biyete baba make raji korano holo,নিজের পছন্দের বিয়েতে বাবা মাকে রাজি করানো হলো
meyeti lal shari pore dariye ache,মেয়েটি লাল শাড়ি পড়ে দাড়িয়ে আছে
bouyer jonno ar bondhuder majhe mukh dekhanor upay nai,বউয়ের জন্য আর বন্ধুদের মাঝে মুখ দেখানোর উপায় নাই
amake sobar samne marte marte bashay niye ase,আমাকে সবার সামনে মারতে মারতে বাসায় নিয়ে আসে
ami jani ekhane onek meye comment porte ashbe,আমি জানি এখানে অনেক মেয়ে কমেন্ট পড়তে আসবে
majhe majhe mone hoy ghorbari sob moshar name likhe diye ami jungle e chole jai,মাঝে মাঝে মনে হয় ঘরবাড়ী সব মশার নামে লিখে দিয়ে আমি জঙ্গল এ চলে যাই
"tomar hoye achi ami,tomar hoye thakbo","তোমার হয়ে আছি আমি,তোমার হয়ে থাকবো"
sara jibon tomay ami valobeshe jabo,সারা জীবন তোমায় আমি ভালবেসে যাবো
"pashe theko sara jibon,dure jeyo na","পাশে থেকো সারা জীবন,দূরে যেয়ো না"
tomay chara ektuo amar valo lage na,তোমায় ছাড়া একটুও আমার ভালো লাগে না
"kauke abeger valobasa diona,moner valobasa dio ","কাউকে আবেগের ভালোবাসা দিওনা,মনের ভালোবাসা দিও "
karon abeger valobasa ekdin bibeker kache here jabe,কারন আবেগের ভালোবাসা একদিন বিবেকের কাছে হেরে যাবে
ki kore bujhabo tare ami kotota valobashi?,কি করে বুঝাবো তারে আমি কতটা ভালবাসি?
onek din por tomake dekhlam,অনেক দিন পর তোমাকে দেখলাম
tomake dekhe thomke dariye chilam,তোমাকে দেখে থমকে দারিয়ে ছিলাম
ami khub koshte nijeke shamle nilam,আমি খুব কষ্টে নিজেকে সামলে নিলাম
jokhon tumi amake dekhe na dekhar van korle tokhon amar darun legeche,যখন তুমি আমাকে দেখে না দেখার ভান করলে তখন আমার দারুন লেগেছে
tomake sei onuvutir kotha bole bujhate parbo na,তোমাকে সেই অনুভুতির কথা বলে বুঝাতে পারবো না
tomake khub mone porche dibo tomay lal golap,তোমাকে খুব মনে পড়ছে দিব তোমায় লাল গোলাপ
amar jibone keu nei tumi chara,আমার জীবনে কেউ নেই তুমি ছাড়া
amar jibone kono sopno nei tumi chara,আমার জীবনে কোন স্বপ্ন নেই তুমি ছাড়া
amar duchokh kichu khojena tomay chara,আমার দুচোখ কিছু খোজেনা তোমায় ছাড়া
jokhon meye bujhe tokhon chele bujhena,যখন মেয়ে বুঝে তখন ছেলে বুঝেনা
tumi shudhu mone rekho amay shara bela,তুমি শুধু মনে রেখো আমায় সারা বেলা
chokher kanna muche debo tomay hashi,চোখের কান্না মুছে দেব তোমায় হাসি
taito ami bondhu tomay eto valobashi,তাইতো আমি বন্ধু তোমায় এতো ভালবাসি
"koto shundor tumi,preme porechi ami","কত সুন্দর তুমি,প্রেমে পড়েছি আমি"
chelera valobasar ovinoy korte korte je kokhon sotti sotti valobeshe fele tara ta nijeo janena,ছেলেরা ভালোবাসার অভিনয় করতে করতে যে কখন সত্যি সত্যি ভালোবেসে ফেলে তারা তা নিজেও জানেনা
meyera sottikar valobashte baste je kokhon ovinoy shuru kore tara ta nijeo janena,মেয়েরা সত্যিকার ভালোবাসতে বাসতে যে কখন অভিনয় শুরু করে তারা তা নিজেও জানেনা
ei prithibite priyo manushguloke chara beche thakata koshtokor kintu osomvob kichu noy,এই পৃথিবীতে প্রিয় মানুষগুলোকে ছাড়া বেঁচে থাকাটা কষ্টকর কিন্তু অসম্ভব কিছু নয়
karo jonno karo jibon theme thake na,কারো জন্য কারো জীবন থেমে থাকে না
kauke procondovabe valobashar moddhe ek dhoroner durbolta ache,কাউকে প্রচন্ডভাবে ভালবাসার মধ্যে এক ধরনের দুর্বলতা আছে
"chele ebong meye bondhu hote pare,kintu tara oboshoi eke oporer preme porbe","ছেলে এবং মেয়ে বন্ধু হতে পারে,কিন্তু তারা অবশ্যই একে অপরের প্রেমে পড়বে"
cheleder jonno prithibite sob chaite mulloban holo meyeder hashi,ছেলেদের জন্য পৃথিবীতে সব চাইতে মূল্যবান হল মেয়েদের হাসি
tomake ducokh vore dekha ekhono baki,তোমাকে দুচোখ ভরে দেখা এখনও বাকি
tomake kache ese joriye dhora baki,তোমাকে কাছে এসে জড়িয়ে ধরা বাকি
amar onek thanda lagche,আমার অনেক ঠাণ্ডা লাগছে
amar mon kharap,আমার মন খারাপ
apnar ki mon kharap ?,আপনার কি মন খারাপ ?
tomar ki mon kharap ?,তোমার কি মন খারাপ ?
abbu amar jonno lal jama kine eneche,আব্বু আমার জন্য লাল জামা কিনে এনেছে
amar bondhu amake lal shari kine diyeche,আমার বন্ধু আমাকে লাল শাড়ি কিনে দিয়েছে
amar bondhu amake ekti lal golap kine diyeche,আমার বন্ধু আমাকে একটি লাল গোলাপ কিনে দিয়েছে
amar ammu amake niye park e ghurte jabe,আমার আম্মু আমাকে নিয়ে পার্কে ঘুরতে যাবে
"je valobasha joto gopon,sei valobasha toto govir","যে ভালবাসা যত গোপন,সেই ভালবাসা তত গভীর"
valobasha paoyar chaite valobasha deoyatei beshi anondo,ভালোবাসা পাওয়ার চাইতে ভালোবাসা দেওয়াতেই বেশি আনন্দ
"tumi jodi kauke valobasho,tobe take chere dao","তুমি যদি কাউকে ভালোবাসো,তবে তাকে ছেড়ে দাও"
"jodi se tomar kache fire ase,tobe se tomari chilo","যদি সে তোমার কাছে ফিরে আসে,তবে সে তোমারই ছিল"
"ar jodi fire na ase,tobe se kokhonoi tomar chilo na","আর যদি ফিরে না আসে,তবে সে কখনই তোমার ছিল না"
"jokhon kono purush kono narike valobashe,tokhon se tar jonno sob kichu korte pare","যখন কোন পুরুষ কোন নারীকে ভালবাসে,তখন সে তার জন্য সব কিছু করতে পারে"
mukhe mukhe sobsomoy valobashi valobashi bolar cheye amar mone hoy valabashar manushtake bujhte para onek boro bepar,মুখে মুখে সবসময় ভালোবাসি ভালোবাসি বলার চেয়ে আমার মনে হয় ভালোবাসার মানুষটাকে বুঝতে পারা অনেক বড় ব্যাপার
valobasha mane porosporke bujhte para,ভালোবাসা মানে পরস্পরকে বুঝতে পারা
ami je manushtike valobashi take jodi na bujhte pari tahole ei premer kono ortho ache bole mone hoy na,আমি যে মানুষটিকে ভালোবাসব তাকে যদি না বুঝতে পারি তাহলে এই প্রেমের কোনো অর্থ আছে বলে মনে হয় না
nije osukhi hoye onnoke valobeshe sukhi kora jayna,নিজে অসুখী হয়ে অন্যকে ভালোবেসে সুখী করা যায়না
keu apnar jibone sukh ene debe vebe karo sathe preme joraben na,কেউ আপনার জীবনে সুখ এনে দেবে ভেবে কারো সাথে প্রেমে জড়াবেন না
apni karo jibone sukh ene deben vebe prem korun,আপনি কারো জীবনে সুখ এনে দেবেন ভেবে প্রেম করুন
"sottikarer valobasha shudhu valobashar manushtike sukhi korte cay,tar theke kono protidan asha kore na","সত্যিকারের ভালোবাসা শুধু ভালোবাসার মানুষটিকে সুখী করতে চায়,তার থেকে কোনো প্রতিদান আশা করে না"
valobasha mane kauke joy kora noy borong nijei karo jonno here jaoya,ভালবাসা মানে কাউকে জয় করা নয় বরং নিজেই কারো জন্য হেরে যাওয়া
apni kokhonoi parben na onno karo valobashake chiniye nite kingba jor kore onner valo lagar manush hote,আপনি কখনই পারবেন না অন্য কারও ভালোবাসাকে ছিনিয়ে নিতে কিংবা জোর করে অন্যের ভালো লাগার মানুষ হতে
chokher samne jaderke dekhchen taderke agamikal sokalbela ar dekhte paben kina tar kono nishchoyta nei,চোখের সামনে যাদেরকে দেখছেন তাদেরকে আগামিকাল সকালবেলা আর দেখতে পাবেন কিনা তার কোনও নিশ্চয়তা নেই
valo lage tomar oi kajol kalo cokh,ভালো লাগে তোমার ওই কাজল কালো চোখ
tomar moner kotha aj amake khule bolo,তোমার মনের কথা আজ আমাকে খুলে বলো
"amar hatta dhore samner path e egiye cholo,pechon fire ar amra dekhbo na","আমার হাতটা ধরে সামনের পথে এগিয়ে চলো,পেছন ফিরে আর আমরা দেখবো না"
golap ful dibo ami tomar hate,গোলাপ ফুল দিবো আমি তোমার হাতে
ei mon aj tomay dilam,এই মন আজ তোমায় দিলাম
tomar oi mon ami niye nilam,তোমার ওই মন আমি নিয়ে নিলাম
hajar kothar majhe ekta moner kotha lukiye thake,হাজার কথার মাঝে একটা মনের কথা লুকিয়ে থাকে
sob kotha mukhe bole deoya jayna,সব কথা মুখে বলে দেওয়া যায়না
hajar kothar majhe oi ekta kotha bujhe nite hoy,হাজার কথার মাঝে ওই একটা কথা বুঝে নিতে হয়
jotodin beche thaki tomay mone rakhbo,যতদিন বেঁছে থাকি তোমায় মনে রাখবো
"joto koshto hok sob mene nebo,tobuo chirodin tomakei valobashbo ","যত কষ্ট হোক সব মেনে নেবো,তবুও চিরদিন তোমাকেই ভালোবাসবো "
"dekho,ki shundor mishti chader mishti alo ","দেখো,কি সুন্দর মিষ্টি চাঁদের মিষ্টি আলো "
"fule fule sajiye rekhechi amar ei mon,tumi ashle dujon mile sajabo jibon ","ফুলে ফুলে সাজিয়ে রেখেছি আমার এই মন,তুমি আসলে দুজন মিলে সাজাবো জীবন "
porashona kore ki hobe jodi tomakei na paoya jay,পড়াশোনা করে কি হবে যদি তোমাকেই না পাওয়া যায়
meyeder post hocche macher bajar shobai ese vir jomay,মেয়েদের পোস্ট হচ্ছে মাছের বাজার সবাই এসে ভিড় জমায়
cheleder post hocche sonar dokan tai khub kom loki ekhane ase,ছেলেদের পোস্ট হচ্ছে সোনার দোকান তাই খুব কম লোকই এখানে আসে
"protidin ghumiye porar age vabi jai hok,biye korar arekta din egiyeche","প্রতিদিন ঘুমিয়ে পড়ার আগে ভাবি যাই হোক,বিয়ে করার আরেকটা দিন এগিয়েছে"
"biyete chele pokkho dabi korechilo duti sonar jinis chai,meye pokkho tatei raji hoye gelo","বিয়েতে ছেলে পক্ষ দাবি করেছিল দুটি সোনার জিনিস চাই,মেয়ে পক্ষ তাতেই রাজি হয়ে গেল"
bortomane prem hin manush khuje paoyata koshtokor,বর্তমানে প্রেম হীন মানুষ খুঁজে পাওয়াটা কষ্টকর
mishti heshe kotha bole pagol kore dile,মিষ্টি হেসে কথা বলে পাগল করে দিলে
tomay niye hariye jabo akasher nile,তোমায় নিয়ে হারিয়ে যাবো আকাশের নীলে
cholona kichu na mene valobashi,চলোনা কিছু না মেনে ভালোবাসি
cholo dujone mile sukher prithibi sajai,চলো দুজনে মিলে সুখের পৃথিবী সাজাই
tomake niye amar sob kolpona,তোমাকে নিয়ে আমার সব কল্পনা
tomay hridoye rakhbo sarakkhon,তোমায় হৃদয়ে রাখবো সারাক্ষণ
tumi jodi chao brishti hobe aj,তুমি যদি চাও বৃষ্টি হবে আজ
cholo dujone hat dhore harabo,চল দুজনে হাত ধরে হারাবো
tomake chuye dite chai onumoti,তোমাকে ছুয়ে দিতে চাই অনুমতি
ei chobir protiti gan onek onek priyo chilo ebong ekhono ache,এই ছবির প্রতিটি গান অনেক অনেক প্রিয় ছিল এবং এখনো আছে
"sotter valobasha hare na,mittha valobasha here jay","সত্যের ভালবাসা হারে না,মিথ্যা ভালবাসা হেরে যায়"
ei sei sonali juger sei prachin gan je gan shunle bukta vore jay,এই সেই সোনালী যুগের সেই প্রাচীন গান যে গান শুনলে বুকটা ভরে যায়
"jotobar dekhi totobar valo lage,mousumike gantate osomvob sundor lagche","যতবার দেখি ততবার ভালো লাগে,মৌসুমিকে গানটাতে অসম্ভব সুন্দর লাগছে"
ekhono valo lage ganta,এখনো ভালো লাগে গানটা
kalo ar lal sharite mousumi apu ke osomvob sundori lage,কালো আর লাল শাড়িতে মৌসুমী আপু কে অসম্ভব সুন্দরী লাগে
mone pore jay amar valobashar manushtar kotha,মনে পড়ে যায় আমার ভালোবাসার মানুষটার কথা
ganta shunlei puraton itihas mone pore,গানটা শুনলেই পুরাতন ইতিহাস মনে পড়ে
ei chobir sob gangulo onek sundor,এই ছবির সব গানগুলো অনেক সুন্দর
sob somoye gan gulo besh sundor valo lage shunte,সব সময়ে গান গুলো বেশ সুন্দর ভালো লাগে শুনতে
mousumi apuke bolchi erokom ekta chobi amaderke abar uporhar din,মৌসুমি আপুকে বলছি এরকম একটা ছবি আমাদেরকে আবার উপরহার দিন
"mousumi asolei khub sundori,ami kach theke dekhechi","মৌসুমী আসলেই খুব সুন্দরী,আমি কাছ থেকে দেখেছি"
ekdin hoyto prithibir maya katiye chole jabo porpare,একদিন হয়তো পৃথিবীর মায়া কাটিয়ে চলে যাবো পরপারে
"chokh mellei dekhi tomake,chokh bujlei pai aro kache","চোখ মেললেই দেখি তোমাকে,চোখ বুজলেই পাই আরো কাছে"
aro beshi valobasha ami dite chai,আরও বেশি ভালবাসা আমি দিতে চাই
ei gan amar eto priyo ekhono shuni onek sundor ekta onuvuti kaj kore,এই গান আমার এত প্রিয় এখনো শুনি অনেক সুন্দর একটা অনুভুতী কাজ করে
"joubon asar agei take valo besechilam,abar joubon shesh hobar poreo takei valo basbo","যৌবন আসার আগেই তাকে ভালো বেসেছিলাম,আবার যৌবন শেষ হবার পরেও তাকেই ভালো বাসবো"
sat bochor por khuje peyechi amar priyo ganta,সাত বছর পর খুজে পেয়েছি আমার প্রিয় গানটা
jibone onek gan shuni tarporeo keno jani na ei gan gulor moto eto valo lage na,জীবনে অনেক গান শুনি তারপরেও কেন জানি না এই গান গুলোর মত এত ভালো লাগে না
"jokhon ganta notun ber hoyechilo,tokhon onek shunechi","যখন গানটা নতুন বের হয়েছিলো,তখন অনেক শুনেছি"
ei ganta je koto bar je shunechi tar kono hiseb nei,এই গানটা যে কতো বার যে শুনেছি তার কোনো হিসেব নেই
chotobelar sritigulo mone pore jay,ছোটবেলার স্মৃতিগুলো মনে পরে যায়
matro ek bochor por gantar boyosh ek jug hobe jabe,মাত্র এক বছর পর গানটার বয়স এক যুগ হবে যাবে
vobishote amar chele meye jokhon esob gan dekhbe tar baba kotota romantic chilo,ভবিষ্যতে আমার ছেলে মেয়ে যখন এসব গান দেখবে তার বাবা কতটা রোমান্টিক ছিল
ei ganta kotobar shunechi ami nijei jani na,এই গানটা কতবার শুনিছি আমি নিজেই জানি না
evabe chole jabe somoy kintu theke jabe eshob kichu gan,এভাবে চলে যাবে সময় কিন্তু থেকে যাবে এসব কিছু গান
taderke onek dhonnobad jara gan gulo upohar diye gechen,তাদেরকে অনেক ধন্যবাদ যারা গান গুলো উপহার দিয়ে গেছেন
rumi vaiya abar fire aso shobar majhe notun gan niye,রুমি ভাইয়া আবার ফিরে আসো সবার মাঝে নতুন গান নিয়ে।
purono diner kotha mone pore gelo,পুরনো দিনের কথা মনে পড়ে গেল
"hariye geche kotokichu,koto aponjon","হারিয়ে গেছে কতকিছু, কত আপনজন"
shudhu ganti jemon chilo temnei roye geche,শুধু গানটি যেমন ছিলো তেমনেই রয়ে গেছে
ei gan gulo niye onek abeg ache,এই গান গুলো নিয়ে অনেক আবেগ আছে
e gan ta shune chokhe pani chole ashlo,এ গান টা শুনে চোখে পানি চলে আসলো
eshob gan chotobela theke shune boro hoyechi,এসব গান ছোটবেলা থেকে শুনে বড় হয়েছি
ei ganta shune mone holo ami bangladesh theke ghure elam,এই গানটা শুনে মনে হল আমি বাংলাদেশ থেকে ঘুরে এলাম
ei chobita dekhle bojha jay amader desher jonno koto koshto koreche muktijoddha vaiyera,এই ছবিটা দেখলে বোঝা যায় আমাদের দেশের জন্য কতো কষ্ট করেছে মুক্তিযোদ্ধা ভাইয়েরা
amra jibone vulte parbo na,আমরা জীবনে ভুলতে পারব না
jotodin prithibir buke bangladesh namti thakbe totodin porjonto ei ganti cholte thakbe,যতদিন পৃথিবীর বুকে বাংলাদেশ নামটি থাকবে ততদিন পর্যন্ত এই গানটি চলতে থাকবে
muktijuddher vaiyera amader jonno koto koshto koreche,মুক্তিযুদ্ধের ভাইয়েরা আমাদের জন্য কত কষ্ট করেছে
ganti shune amar onek valo legeche,গানটি শুনে আমার অনেক ভালো লেগেছে
ganta shune chokhe pani chole ashlo shotti khub valo laglo,গানটা শুনে চোখে পানি চলে আসলো সত্যি খুব ভালো লাগলো
varotiyo hoyeo jeno kothao ami bangladeshi onuvob korchi,ভারতীয় হয়েও যেন কোথাও আমি বাংলাদেশি অনুভব করছি
ajker ei dine bangladeshke khub mone pore,আজকের এই দিনে বাংলাদেশকে খুব মনে পড়ে
shei chotobelar kotha mone pore jay jotobar ganta shuni otite fire jai,সেই ছোটবেলার কথা মনে পড়ে যায় যতবার গানটা শুনি অতীতে ফিরে যাই
ei choto cheleti ekti ball diye khelche,এই ছোট ছেলেটি একটি বল দিয়ে খেলছে
lokti phone e kotha bolche,লোকটি ফোনে কথা বলছে
baire besh kichu manush ghure beracche,বাইরে বেশ কিছু মানুষ ঘুরে বেড়াচ্ছে
rate ekdol lok eksathe baire bose thake,রাতে একদল লোক একসাথে বাইরে বসে থাকে
tumihin somoyta nijeder moto kore guchiye neoyar cheshta korchi,তুমিহীন সময়টা নিজেদের মতো করে গুছিয়ে নেওয়ার চেষ্টা করছি
aj tomar konnake niye sara boi mela ghurechi kintu kono anondo paini,আজ তোমার কন্যাকে নিয়ে সারা বই মেলা ঘুরেছি কিন্তু কোনো আনন্দ পায়নি
tomar pochonder besh koyekti boi kinechi,তোমার পছন্দের বেশ কয়েকটি বই কিনেছি
shob kichu kemon shanto ar faka legeche,সব কিছু কেমন শান্ত আর ফাঁকা লেগেছে
ami jani amader ar kono din epare eksathe boi pora hobena,আমি জানি আমাদের আর কোন দিন এপারে একসাথে বই পড়া হবেনা
tumi nei ei kothin sottita ami ajo bishsas korte parchi na,তুমি নেই এই কঠিন সত্যিটা আমি আজও বিশ্বাস করতে পারছি না
keno jani mone hoy bela sheshe tumi ghore firbe,কেনো জানি মনে হয় বেলা শেষে তুমি ঘরে ফিরবে
ami ek sondhay office theke basay fire dekhbo tumi acho sottii tumi acho,আমি এক সন্ধ্যায় অফিস থেকে বাসায় ফিরে দেখবো তুমি আছো সত্যিই তুমি আছো
tumi tomar konnake niye besto somoy par korcho,তুমি তোমার কন্যাকে নিয়ে ব্যস্ত সময় পার করছ
ami konodin chintao korini amar meye tar mar ador valobasa chara boro hobe basar kajer manusher kache,আমি কোনদিন চিন্তাও করিনি আমার মেয়ে তার মার আদর ভালোবাসা ছাড়া বড় হবে বাসার কাজের মানুষের কাছে
dom bondho hoye ase chitkar kore kadte icche kore,দম বন্ধ হয়ে আসে চিৎকার করে কাঁদতে ইচ্ছে করে
tumi jano sottii khub kothin baba hoye mayer dayitto palon kora,তুমি জানো সত্যিই খুব কঠিন বাবা হয়ে মায়ের দায়িত্ব পালন করা
sontanke ekmatro tar mayer kolei manay,সন্তানকে একমাত্র তার মায়ের কোলেই মানায়
tomar konna amar kole ese shudhu tomake khoje mone hoy,তোমার কন্যা আমার কোলে এসে শুধু তোমাকে খোঁজে মনে হয়
tumi chole jaoyar por tomar meye kemon jeno shanto hoye geche,তুমি চলে যাওয়ার পর তোমার মেয়ে কেমন যেন শান্ত হয়ে গেছে
eta hoyto keu bujhte parche na ami chara,এটা হয়তো কেউ বুঝতে পারছে না আমি ছাড়া
